citekey,title,year,first_author,doi,arxiv_id,source,pdf_url,filename,status,message
yao2025who,Who is in the Spotlight: The Hidden Bias Undermining Multimodal Retrieval-Augmented Generation,2025,Yao,10.18653/v1/2024.findings-emnlp.647,,OpenAlex,https://api.taylorfrancis.com/content/books/oa-mono/download?identifierName=doi&identifierValue=10.4324/9780429056413&type=webpdf,yao2025who_Who is in the Spotlightï¼š The Hidden Bias Undermining Multimodal Retrieval-Augmented Generation.pdf,downloaded,Downloaded from OpenAlex
xiong2025map,Mapping the Minds of LLMs: A Graph-Based Analysis of Reasoning LLMs,2025,Xiong,10.18653/v1/2024.findings-emnlp.647,,SemanticScholar(arXiv),https://arxiv.org/pdf/2505.13890.pdf,xiong2025map_Mapping the Minds of LLMsï¼š A Graph-Based Analysis of Reasoning LLMs.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
hao2025making,Making every step effective: Jailbreaking large vision-language models through hierarchical kv equalization,2025,Hao,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2503.11750.pdf,hao2025making_Making every step effectiveï¼š Jailbreaking large vision-language models through hierarchical kv equalization.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
ge2025mrfd,MRFD: Multi-Region Fusion Decoding with Self-Consistency for Mitigating Hallucinations in LVLMs,2025,Ge,,,,,ge2025mrfd_MRFDï¼š Multi-Region Fusion Decoding with Self-Consistency for Mitigating Hallucinations in LVLMs.pdf,not_found,No PDF URL found from sources
wu2025dimo,DiMo-GUI: Advancing Test-time Scaling in GUI Grounding via Modality-Aware Visual Reasoning,2025,Wu,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2507.00008.pdf,wu2025dimo_DiMo-GUIï¼š Advancing Test-time Scaling in GUI Grounding via Modality-Aware Visual Reasoning.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
tao2025how,How to Make Large Language Models Generate 100% Valid Molecules?,2025,Tao,,,,,tao2025how_How to Make Large Language Models Generate 100% Valid Moleculesï¼Ÿ.pdf,not_found,No PDF URL found from sources
li2025semvink,SemVink: Advancing VLMs' Semantic Understanding of Optical Illusions via Visual Global Thinking,2025,Li,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2506.02803.pdf,li2025semvink_SemVinkï¼š Advancing VLMs' Semantic Understanding of Optical Illusions via Visual Global Thinking.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
tao2025understanding,Understanding GUI Agent Localization Biases through Logit Sharpness,2025,Tao,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2506.15425.pdf,tao2025understanding_Understanding GUI Agent Localization Biases through Logit Sharpness.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
bi2024lpnl,Lpnl: Scalable link prediction with large language models,2024,Bi,10.18653/v1/2024.findings-acl.215,,SemanticScholar,https://arxiv.org/pdf/2401.13227,bi2024lpnl_Lpnlï¼š Scalable link prediction with large language models.pdf,downloaded,Downloaded from SemanticScholar
bi2025context,Context-DPO: Aligning Language Models for Context-Faithfulness,2025,Bi,10.18653/v1/2025.findings-acl.536,,SemanticScholar(arXiv),https://arxiv.org/pdf/2412.15280.pdf,bi2025context_Context-DPOï¼š Aligning Language Models for Context-Faithfulness.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
bi2025decoding,Decoding by Contrasting Knowledge: Enhancing Large Language Model Confidence on Edited Facts,2025,Bi,10.18653/v1/2025.acl-long.841,,,,bi2025decoding_Decoding by Contrasting Knowledgeï¼š Enhancing Large Language Model Confidence on Edited Facts.pdf,not_found,No PDF URL found from sources
bi2025is,Is Factuality Enhancement a Free Lunch For LLMs? Better Factuality Can Lead to Worse Context-Faithfulness,2025,Bi,10.36227/techrxiv.173160875.51599596/v1,,OpenAlex,http://arxiv.org/pdf/2404.00216,bi2025is_Is Factuality Enhancement a Free Lunch For LLMsï¼Ÿ Better Factuality Can Lead to Worse Context-Faithfulness.pdf,downloaded,Downloaded from OpenAlex
cai2020learning,Learning progressive joint propagation for human motion prediction,2020,Cai,10.1007/978-3-030-58571-6_14,,OpenAlex,https://dr.ntu.edu.sg/bitstream/10356/144139/2/2020-Cai_etal-ECCV2020-human-motion-prediction.pdf,cai2020learning_Learning progressive joint propagation for human motion prediction.pdf,download_failed,HTTP failed or not a PDF
cai2021unified,A unified 3d human motion synthesis model via conditional variational auto-encoder,2021,Cai,10.1109/iccv48922.2021.01144,,,,cai2021unified_A unified 3d human motion synthesis model via conditional variational auto-encoder.pdf,not_found,No PDF URL found from sources
ge2025acl,Can Graph Descriptive Order Affect Solving Graph Problems with LLMs?,2025,Ge,10.18653/v1/2025.acl-long.321,,arXiv,http://arxiv.org/pdf/2402.07140v5,ge2025acl_Can Graph Descriptive Order Affect Solving Graph Problems with LLMsï¼Ÿ.pdf,downloaded,Downloaded from arXiv
li2024control,Control Large Language Models via Divide-and-Conquer,2024,Li,10.18653/v1/2024.emnlp-main.850,,,,li2024control_Control Large Language Models via Divide-and-Conquer.pdf,not_found,No PDF URL found from sources
li2024think,Think Carefully and Check Again! Meta-Generation Unlocking LLMs for Low-Resource Cross-Lingual Summarization,2024,Li,,,SemanticScholar(arXiv),https://arxiv.org/pdf/2410.20021.pdf,li2024think_Think Carefully and Check Again! Meta-Generation Unlocking LLMs for Low-Resource Cross-Lingual Summarization.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
li2025drs,DRS: Deep Question Reformulation With Structured Output,2025,Li,10.18653/v1/2025.findings-acl.666,,SemanticScholar(arXiv),https://arxiv.org/pdf/2411.17993.pdf,li2025drs_DRSï¼š Deep Question Reformulation With Structured Output.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
li2025metal,METAL: A Multi-Agent Framework for Chart Generation with Test-Time Scaling,2025,Li,10.18653/v1/2025.acl-long.1452,,,,li2025metal_METALï¼š A Multi-Agent Framework for Chart Generation with Test-Time Scaling.pdf,not_found,No PDF URL found from sources
li2025text,Texture or Semantics? Vision-Language Models Get Lost in Font Recognition.,2025,Li,,,OpenAlex,https://thecharnelhouse.org/wp-content/uploads/2017/09/Fredric-Jameson-The-Political-Unconscious-Narrative-as-a-Socially-Symbolic-Act-1981.pdf,li2025text_Texture or Semanticsï¼Ÿ Vision-Language Models Get Lost in Font Recognition..pdf,download_failed,HTTP failed or not a PDF
li2025vertical,Vulnerability of LLMs to Vertically Aligned Text Manipulations,2025,Li,10.18653/v1/2025.acl-long.978,,SemanticScholar(arXiv),https://arxiv.org/pdf/2410.20016.pdf,li2025vertical_Vulnerability of LLMs to Vertically Aligned Text Manipulations.pdf,downloaded,Downloaded from SemanticScholar(arXiv)
liang2020revisiting,Revisiting convolutional neural networks for urban flow analytics,2020,Liang,,,,,liang2020revisiting_Revisiting convolutional neural networks for urban flow analytics.pdf,not_found,No PDF URL found from sources
liang2021fine,Fine-grained urban flow prediction,2021,Liang,10.1145/3442381.3449792,,OpenAlex,https://dl.acm.org/doi/pdf/10.1145/3442381.3449792,liang2021fine_Fine-grained urban flow prediction.pdf,download_failed,HTTP failed or not a PDF
liang2021modeling,Modeling Trajectories with Neural Ordinary Differential Equations.,2021,Liang,10.24963/ijcai.2021/207,,OpenAlex,https://www.ijcai.org/proceedings/2021/0207.pdf,liang2021modeling_Modeling Trajectories with Neural Ordinary Differential Equations..pdf,downloaded,Downloaded from OpenAlex
